course,crn,instructor,days,start_time,end_time
ECON 480,23541,"Hartley, Peter","Mon,Wed,Fri",11:00,11:50
ECON 489,24515,"Thirkettle, Matt","Mon,Wed",18:30,19:45
ECON 494,25705,"Eraslan, Hulya",Fri,11:00,11:50
ECON 494,25705,"Eraslan, Hulya","Tue,Thu",13:00,14:15
ECON 496,24516,"Alva, Samson","Tue,Thu",14:30,15:45
ECON 505,22023,"Back, Kerry","Tue,Thu",14:30,15:45
ECON 508,22565,"Eraslan, Hulya",Wed,16:00,18:30
ECON 509,22637,"Dudey, Marc P.",Fri,14:00,16:30
ECON 511,20420,"Thirkettle, Matt","Mon,Wed",10:30,11:45
ECON 516,24517,"Kong, Yunmi",Mon,16:00,18:30
ECON 547,22024,"Medlock, Kenneth","Mon,Wed,Fri",10:00,10:50
ECON 575,23289,"Shen, Shihan",Mon,13:00,15:29
ECON 577,24518,"Loch-Temzelides, Ted",Wed,13:00,15:30
ECON 594,23545,"Bethune, Zachary Back, Kerry",Wed,14:00,16:50
ECON 594,23546,"Coughlin, Maura Rezende Cunha, Flavio","Tue,Thu",16:00,17:59
ECON 596,22025,"Perrigne, Isabelle",Wed,13:00,15:50
ECON 604,20577,"Medlock, Kenneth",Fri,08:00,08:50
ECON 604,20577,"Medlock, Kenneth","Mon,Wed,Fri",10:00,10:50
ECON 607,22638,"Hartley, Peter","Mon,Wed,Fri",11:00,11:50
ECON 608,20578,"Cacho-Diaz, Julio",Fri,15:00,15:50
ECON 608,20578,"Cacho-Diaz, Julio","Tue,Thu",17:30,18:45
ECON 609,23737,"Brown, Bryan",Tue,08:00,09:15
ECON 609,23737,"Brown, Bryan","Mon,Wed,Fri",13:00,13:50
ECON 610,22026,"Carlton, Amelie","Mon,Wed",08:00,09:15
ECON 616,25745,"Kong, Yunmi","Tue,Thu",08:00,09:15
ECON 616,25745,"Kong, Yunmi",Mon,18:00,18:50
ECON 620,22892,"Ore Monago, Tilsa",Fri,09:00,09:50
ECON 620,22892,"Ore Monago, Tilsa","Tue,Thu",13:00,14:15
ECON 622,24238,"Loch-Temzelides, Ted",Fri,14:00,14:50
ECON 622,24238,"Loch-Temzelides, Ted",Wed,16:00,18:30
ECON 632,24520,"Coleman, Chase",Fri,11:00,11:50
ECON 632,24520,"Coleman, Chase",Fri,13:00,15:30
ECON 634,25746,"Coleman, Chase",Fri,16:00,18:30
ECON 634,25746,"Coleman, Chase",Thu,19:00,19:50
COMP 140,21211,"Orooji, Marmar","Tue,Thu",13:00,14:15
COMP 140,22130,"Fu, Xiaoyun","Tue,Thu",10:50,12:05
COMP 182,20153,"Goldman, Ron","Tue,Thu",10:50,12:05
COMP 182,22728,"Fu, Xiaoyun","Tue,Thu",13:00,14:15
COMP 182,22729,"Treangen, Todd","Tue,Thu",14:30,15:45
COMP 182,23950,"Chida, Anjum","Tue,Thu",09:25,10:40
COMP 215,22727,"Guzman Nateras, Luis Fernando","Mon,Wed,Fri",13:00,13:50
COMP 282,24693,"Kyrillidis, Tasos Wei, Chen","Mon,Wed,Fri",11:00,11:50
COMP 301,21419,"Ferreira Flores, Rodrigo","Tue,Thu",16:00,17:15
COMP 312,23716,"Schreib, Rebecca","Tue,Thu",10:50,12:05
COMP 321,22822,"Johnson, Dave Fagan, Mike Cox, Alan L.","Tue,Thu",14:30,15:45
COMP 321,22822,"Johnson, Dave Fagan, Mike Cox, Alan L.",Tue,16:00,17:15
COMP 321,22823,"Johnson, Dave Fagan, Mike Cox, Alan L.","Tue,Thu",14:30,15:45
COMP 321,22823,"Johnson, Dave Fagan, Mike Cox, Alan L.",Wed,15:30,16:45
COMP 330,22973,"Koch, Simon Myers, Risa","Mon,Wed,Fri",10:00,10:50
COMP 364,25715,"Schreib, Rebecca",Fri,14:00,16:30
COMP 410,20387,"Wong, Stephen","Mon,Wed,Fri",15:00,15:50
COMP 413,23331,"Koch, Simon","Mon,Wed,Fri",13:00,13:50
COMP 413,23952,"Stolboushkin, Alexei","Mon,Wed",14:00,15:15
COMP 418,22426,"Mamouras, Konstantinos","Mon,Wed,Fri",10:00,10:50
COMP 421,20075,"Johnson, Dave","Tue,Thu",10:50,12:05
COMP 422,22974,"Mellor-Crummey, John","Tue,Thu",13:00,14:15
COMP 423,23717,"Goldman, Ron","Tue,Thu",13:00,14:15
COMP 424,24053,"Garg, Nakul","Tue,Thu",09:25,10:40
COMP 427,20409,"Joyner, Mack","Tue,Thu",14:30,15:45
COMP 440,23120,"Subramanian, Devika","Tue,Thu",09:25,10:40
COMP 447,21689,"Balakrishnan, Guha","Mon,Wed",16:00,17:15
COMP 449,21725,"Lan, Xinjie Shaw, Chad Barman, Arko","Mon,Wed",16:00,17:30
COMP 458,23185,"Patel, Tirthak","Tue,Thu",16:00,17:15
COMP 459,23142,"Lopes da Silva, Arlei","Tue,Thu",10:50,12:05
COMP 460,22174,"Warren, Joe D.","Mon,Fri",14:00,16:15
COMP 462,22976,"Hang, Kaiyu","Mon,Wed",16:00,17:15
COMP 464,25716,"Schreib, Rebecca",Fri,14:00,16:30
COMP 468,25784,"Wang, Yuke","Wed,Fri",12:30,13:45
COMP 484,24694,"Chen, Hanjie","Mon,Wed",16:00,17:15
COMP 498,25587,"Farrell, Logan","Tue,Thu",08:00,09:15
COMP 502,25760,"Merenyi, Erzsebet","Tue,Thu",13:00,14:15
